ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.518527,6.492241,4.609297,4.590704,15.99072,0.2754334,2.926073,11.40513,,NONE
-1,6.518523,6.492242,4.609296,4.590705,15.99072,0.2754331,2.923234,11.5103,,NONE
-1,6.518527,6.492239,4.609298,4.590703,15.99072,0.2754327,2.920776,11.60123,,NONE
-1,6.518529,6.492241,4.609297,4.590704,15.99072,0.2754333,2.918052,11.70184,,NONE
-1,6.518524,6.492242,4.609296,4.590705,15.99072,0.2754329,2.914778,11.82264,,NONE
-1,6.518524,6.492238,4.609296,4.590705,15.99072,0.2754331,2.912481,11.90733,,NONE
-1,6.518529,6.492237,4.609297,4.590704,15.99072,0.2754329,2.909877,12.00321,,NONE
-1,6.518525,6.492238,4.609296,4.590705,15.99072,0.2754328,2.906626,12.1228,,NONE
-1,6.518529,6.492236,4.609297,4.590704,15.99072,0.2754328,2.904504,12.20077,,NONE
-1,6.518528,6.492234,4.609298,4.590703,15.99072,0.2754323,2.901798,12.30008,,NONE
-1,6.518531,6.492236,4.609297,4.590704,15.99072,0.2754325,2.898917,12.4057,,NONE
-1,6.518533,6.492236,4.609296,4.590705,15.99072,0.2754321,2.89631,12.5012,,NONE
-1,6.518533,6.492236,4.609296,4.590705,15.99072,0.275433,2.893402,12.60763,,NONE
-1,6.518532,6.492234,4.609297,4.590704,15.99072,0.275433,2.890513,12.71324,,NONE
-1,6.518532,6.492234,4.609297,4.590704,15.99072,0.275432,2.888053,12.80311,,NONE
-1,6.518538,6.492229,4.609298,4.590703,15.99072,0.2754328,2.884565,12.93044,,NONE
-1,6.518533,6.49223,4.609297,4.590704,15.99072,0.2754303,2.88264,13.00064,,NONE
-1,6.518535,6.492231,4.609296,4.590705,15.99072,0.2754299,2.879907,13.10026,,NONE
-1,6.518538,6.492229,4.609298,4.590703,15.99072,0.2754335,2.876167,13.23642,,NONE
-1,6.518539,6.492229,4.609297,4.590704,15.99072,0.2754327,2.874261,13.30579,,NONE
-1,6.518539,6.492229,4.609297,4.590704,15.99072,0.2754325,2.871516,13.40563,,NONE
-1,6.518541,6.492229,4.609297,4.590704,15.99072,0.2754329,2.86772,13.54352,,NONE
-1,6.518541,6.492229,4.609297,4.590704,15.99072,0.2754327,2.866086,13.60285,,NONE
-1,6.518537,6.49223,4.609296,4.590705,15.99072,0.2754334,2.863071,13.71226,,NONE
