ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
15.75682,7.430763,5.44099,5.690459,3.517212,-30.78432,0.2791879,54.89687,9.801463,,LEFT_ACCELERATE
16.60458,7.875633,4.790691,5.911309,3.311751,-32.13046,0.2791862,54.18012,9.904132,,LEFT_ACCELERATE
16.46756,8.02886,4.552567,6.125333,3.088803,-33.33674,0.2791786,53.38751,10.00113,,LEFT_ACCELERATE
15.40773,7.811166,4.863729,6.244043,2.95293,-34.55888,0.2791661,52.55291,10.1005,,LEFT_ACCELERATE
14.86706,7.672055,5.198318,6.281437,2.925719,-35.76252,0.2791639,51.67986,10.20039,,LEFT_ACCELERATE
14.12017,7.430616,5.984601,6.275026,2.96125,-36.93217,0.2791631,50.72681,10.30171,,LEFT_ACCELERATE
12.71508,6.939368,-1,6.17675,3.176315,-38.07677,0.2791621,49.79908,10.40063,,ACCELERATE
11.37515,6.382824,-1,5.939254,3.581571,-39.25772,0.2791598,48.85491,10.50215,,LEFT_ACCELERATE
10.6988,5.922328,-1,5.581498,4.023693,-40.38849,0.2791657,47.85128,10.60376,,LEFT_ACCELERATE
10.80776,5.664383,-1,5.210357,4.314724,-41.36568,0.2791893,46.74853,10.70294,,LEFT_ACCELERATE
12.00867,5.679191,12.72379,4.93667,4.413625,-42.15645,0.2792115,45.47881,10.80378,,LEFT_ACCELERATE
15.35536,5.983325,8.605543,4.856105,4.371406,-42.6707,0.2792175,44.14362,10.90034,,LEFT_ACCELERATE
-1,6.661863,6.507904,4.995505,4.207108,-42.93933,0.2792193,42.61096,11.00552,,LEFT_ACCELERATE
-1,7.64852,5.263838,5.335416,3.936288,-42.9252,0.2792101,41.15002,11.10431,,LEFT_ACCELERATE
-1,8.935164,4.417105,5.793713,3.552998,-42.71427,0.2791902,39.67957,11.20447,,LEFT_ACCELERATE
-1,10.10228,3.824893,6.217428,3.117369,-42.41443,0.2791746,38.2345,11.30361,,LEFT_ACCELERATE
-1,10.66619,3.445693,6.517086,2.768198,-42.12598,0.2791665,36.80293,11.40169,,RIGHT_ACCELERATE
-1,10.62365,3.220679,6.736547,2.512465,-41.89441,0.2791677,35.30177,11.50376,,RIGHT_ACCELERATE
-1,9.850964,3.329607,6.788881,2.414144,-41.81483,0.2791772,33.83776,11.60238,,RIGHT_ACCELERATE
-1,9.400334,3.517885,6.753495,2.447689,-41.85011,0.2791679,32.33524,11.70334,,RIGHT_ACCELERATE
-1,9.32739,3.58741,6.707902,2.493437,-41.89479,0.2791619,30.88823,11.80053,,ACCELERATE
-1,9.272243,3.6451,6.66749,2.533832,-41.9351,0.2791602,29.34536,11.90415,,ACCELERATE
-1,9.225647,3.693889,6.633277,2.568027,-41.96872,0.2791602,27.88142,12.00245,,ACCELERATE
-1,9.183064,3.738323,6.602175,2.599118,-41.99989,0.2791594,26.38961,12.10263,,ACCELERATE
-1,9.142533,3.780534,6.57267,2.628614,-42.02924,0.2791608,24.88398,12.20372,,ACCELERATE
-1,9.104469,3.820097,6.545043,2.656235,-42.05684,0.2791606,23.39643,12.30361,,ACCELERATE
-1,9.068214,3.857751,6.518767,2.682505,-42.08297,0.2791613,21.93822,12.40152,,ACCELERATE
-1,9.031543,3.895793,6.492229,2.709038,-42.10969,0.2791602,20.40996,12.50414,,ACCELERATE
-1,8.996402,3.93225,6.466806,2.734458,-42.13504,0.2791593,18.93489,12.60318,,ACCELERATE
-1,8.961054,3.968894,6.441265,2.759996,-42.16027,0.2791614,17.44896,12.70295,,ACCELERATE
-1,8.926854,4.004346,6.416555,2.784703,-42.18503,0.2791593,15.97867,12.80167,,ACCELERATE
-1,8.893054,4.03936,6.392143,2.809112,-42.20963,0.2791597,14.50855,12.90038,,ACCELERATE
-1,8.858493,4.075173,6.367182,2.83407,-42.2344,0.2791596,13.0221,13.00019,,ACCELERATE
-1,8.824697,4.110185,6.342789,2.85846,-42.25916,0.2791613,11.53075,13.10032,,ACCELERATE
-1,8.789929,4.146183,6.317699,2.883548,-42.28399,0.2791595,10.03156,13.20099,,ACCELERATE
-1,8.755726,4.18161,6.293005,2.908239,-42.30897,0.2791609,8.520226,13.30246,,ACCELERATE
-1,8.721444,4.21711,6.268265,2.932976,-42.33352,0.2791594,7.031977,13.40239,,ACCELERATE
-1,8.687901,4.251834,6.24406,2.957179,-42.35747,0.2791611,5.577892,13.50002,,ACCELERATE
-1,8.653479,4.287491,6.21921,2.982027,-42.3823,0.2791608,4.068591,13.60136,,ACCELERATE
-1,8.619468,4.322695,6.194669,3.006566,-42.40686,0.2791598,2.573919,13.70172,,ACCELERATE
-1,8.585534,4.357824,6.170185,3.031047,-42.4314,0.2791603,1.078935,13.8021,,ACCELERATE
-1,8.55285,4.391658,6.146602,3.054628,-42.45535,0.27916,-0.3820728,13.90019,,ACCELERATE
-1,8.518533,4.427187,6.121832,3.079395,-42.47974,0.2791599,-1.871232,14.00018,,ACCELERATE
-1,8.484469,4.462443,6.097257,3.103968,-42.50415,0.2791614,-3.363193,14.10036,,ACCELERATE
-1,8.4502,4.497904,6.072533,3.12869,-42.52894,0.2791596,-4.879872,14.20219,,ACCELERATE
-1,8.416733,4.532532,6.048399,3.15282,-42.5532,0.2791619,-6.366244,14.30199,,ACCELERATE
-1,8.383325,4.567122,6.024286,3.176931,-42.57712,0.2791595,-7.832414,14.40044,,ACCELERATE
-1,8.349582,4.602024,5.999947,3.201268,-42.60148,0.2791613,-9.327825,14.50084,,ACCELERATE
-1,8.315207,4.637601,5.975146,3.226066,-42.62616,0.2791573,-10.84377,14.60262,,ACCELERATE
-1,8.281934,4.672023,5.951147,3.250063,-42.65022,0.2791624,-12.32281,14.70193,,ACCELERATE
-1,8.248046,4.707087,5.926694,3.274513,-42.67474,0.2791607,-13.83261,14.8033,,ACCELERATE
-1,8.21475,4.741539,5.902672,3.298533,-42.69875,0.2791606,-15.31182,14.90262,,ACCELERATE
-1,8.181707,4.775708,5.878841,3.322362,-42.72262,0.2791602,-16.78433,15.00149,,ACCELERATE
-1,8.123945,4.810458,5.854609,3.346591,-42.74693,0.2791604,-18.28533,15.10227,,ACCELERATE
19.58151,7.992288,4.849154,5.830602,3.370595,-42.77113,0.2791599,-19.78074,15.20268,,ACCELERATE
18.10272,7.779113,4.98357,5.806699,3.394497,-42.79516,0.2791599,-21.26762,15.30252,,ACCELERATE
16.60836,7.486388,5.344328,5.78257,3.418623,-42.81898,0.2791598,-22.74286,15.40157,,ACCELERATE
15.54779,7.251321,5.790218,5.751831,3.456901,-42.82244,0.279162,-24.22321,15.50098,,LEFT_ACCELERATE
15.08694,7.158041,5.997095,5.725535,3.482061,-42.72881,0.2791614,-25.69526,15.60008,,LEFT_ACCELERATE
13.83386,6.822043,7.202784,5.666777,3.575922,-42.59119,0.2791632,-27.19742,15.70136,,LEFT_ACCELERATE
13.16329,6.587862,8.744695,5.550554,3.716109,-42.395,0.2791635,-28.71688,15.8043,,LEFT_ACCELERATE
12.88016,6.458349,-1,5.442513,3.819127,-42.08102,0.2791693,-30.12654,15.90137,,LEFT_ACCELERATE
11.77485,6.091636,-1,5.327568,4.017846,-41.70742,0.2791652,-31.55437,16.00047,,LEFT_ACCELERATE
10.8377,5.699368,-1,5.104919,4.321282,-41.29628,0.2791626,-33.00853,16.10196,,LEFT_ACCELERATE
10.69762,5.483432,-1,4.864755,4.536273,-40.77145,0.279176,-34.3725,16.20026,,LEFT_ACCELERATE
11.31936,5.500215,-1,4.683062,4.614658,-40.04213,0.2792038,-35.66304,16.30012,,LEFT_ACCELERATE
12.82366,5.807822,10.64114,4.661821,4.548408,-39.08466,0.2792169,-36.79764,16.40027,,LEFT_ACCELERATE
15.00115,6.390802,7.195261,4.832493,4.374274,-37.91751,0.2792187,-37.73488,16.50138,,LEFT_ACCELERATE
